company_adddress,add_full,add_off
9021BH | 3,DE DILLE 3,0
1097DN | 224,WIBAUTSTRAAT 224,303
9034HP | 2,BOKMASINGEL 2,0
8446EG | 9,KETTING 9,0
1272JM | 2,ATELIERWEG 2,0
8501XK | 1,MERCATORWEG 1,0
8531XA | 6,GRIETENIJDIJK 6,0
9041VC | 5,DE SEIZE 5,0
3818LE | 4,STATIONSPLEIN 4,459
9206AA | 1,TUSSENDIEPEN 1,0
9073TW | 20,WESTERHUSLANNE 20,0
8938BA | 5,HIDALGOWEG 5,0
8604CA | 4,GRAVINNEWEG 4 D,0
8448CJ | 12,ICARUS 12,0
8935BE | 13,NIEUWRAPENBURG 13,0
8801TT | 3,VIJVERSTRAAT 3,0
8409JK | 87,BINNENWEI 87,0
8932PD | 3,EYSINGASTRAAT 3,0
8444AS | 8,INDUSTRIEWEG 8,0
9723JD | 12,WASAWEG 12,0
8606JC | 83,OUDE OPPENHUIZERWEG 83,0
9206BK | 21,STUURBOORD 21,0
9022AX | 12,DE WIDE HOEKE 12,0
8854XM | 8,SLACHTE 8 B,0
8861NX | 7,NIEUWE VISSERSHAVEN 7,0
8441CC | 44,JACOB HEPKEMASTRAAT 44,0
8441DV | 1,ROZENSTRAAT 1,0
8447SL | 13,BUSINESSPARK FRIESLANDW 13,0
8925AP | 2,MELKEMASTATE 2,0
9051KG | 71,FELIXWEI 71,0
9137RE | 18,LOU SANEN 18,0
9044MN | 20,ALDDYK 20,0
3784VC | 32,MOLWEG 32,0
8346KE | 43,BULTWEG 43,0
8574TR | 12,SKUNIADYK 12,0
1051CG | 63,VAN SLINGELANDTSTRAAT 63 1 E ETAGE,0
8445PK | 1,IJZERWEG 1 C,0
