company_adddress,city
8601WL | 40,SNEEK
1043GR | 151,AMSTERDAM
8601EG | 12,SNEEK
9645KZ | 67,VEENDAM
9681AL | 158,MIDWOLDA
9723JB | 66,GRONINGEN
7875AD | 70,EXLOO
7891TH | 2,KLAZIENAVEEN
9203KA | 31,DRACHTEN
7317AJ | 82,APELDOORN
9401AZ | 17,ASSEN
9936BH | 14,FARMSUM
3411MD | 5,LOPIK
7909AA | 1,HOOGEVEEN
9413AV | 3,BEILEN
9206BK | 4,DRACHTEN
9204LM | 26,DRACHTEN
9731NE | 482,GRONINGEN
3605LT | 3002,MAARSSEN
9995PC | 11,KANTENS
7825GC | 2,EMMEN
9735AD | 2,GRONINGEN
7909HS | 15,HOOGEVEEN
9403AD | 39,ASSEN
7981LE | 19,DIEVER
9671PH | 34,WINSCHOTEN
9515PN | 18,GASSELTERNIJVEENSCHEMOND
8493LB | 19,TERHERNE
9731AK | 7,GRONINGEN
9932AB | 34,DELFZIJL
9711AP | 2,GRONINGEN
7891DT | 79,KLAZIENAVEEN
9406AR | 9,ASSEN
9351VD | 14,LEEK
9728BM | 804,GRONINGEN
9906TC | 7,BIERUM
9411BB | 12,BEILEN
9503JA | 25,STADSKANAAL
7827EC | 15,EMMEN
9723BK | 131,GRONINGEN
9715AW | 6,GRONINGEN
9936HD | 10,FARMSUM
9502BW | 1,STADSKANAAL
9251GA | 40,BURGUM
9464TH | 17,EEXTERZANDVOORT
9761EK | 86,EELDE
9723AZ | 90,GRONINGEN
6717KV | 100,EDE GLD
